battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,screen_size,camera_quality,processor_power,memory_weight_ratio,network_type
803,1,2.1,0,7,0,17,1.0,198,4,11,344,1440,2680,7,1,4,1,0,1,2,7.0710678118654755,3467520,8.4,0.08585858585858586,3
1866,0,0.5,0,13,1,52,0.7,185,1,17,356,563,373,14,9,3,1,0,1,0,16.64331697709324,2605564,0.5,0.2810810810810811,4
775,0,1.0,0,3,0,46,0.7,159,2,16,862,1864,568,17,15,11,1,1,1,0,22.67156809750927,4820304,2.0,0.2893081761006289,3
838,0,0.5,0,1,1,13,0.1,196,8,4,984,1850,3554,10,9,19,1,0,1,3,13.45362404707371,1820400,4.0,0.0663265306122449,4
595,0,0.9,1,7,1,23,0.1,121,3,17,441,810,3752,10,2,18,1,1,0,3,10.198039027185569,2500470,2.7,0.19008264462809918,2
1131,1,0.5,1,11,0,49,0.6,101,5,18,658,878,1835,19,13,16,1,1,0,1,23.021728866442675,6354964,2.5,0.48514851485148514,1
682,1,0.5,0,4,0,19,1.0,121,4,11,902,1064,2337,11,1,18,0,1,1,1,11.045361017187261,3838912,2.0,0.15702479338842976,2
772,0,1.1,1,12,0,39,0.8,81,7,14,1314,1854,2819,17,15,3,1,1,0,3,22.67156809750927,29233872,7.700000000000001,0.48148148148148145,1
1709,1,2.1,0,1,0,13,1.0,156,2,2,974,1385,3283,17,1,15,1,0,0,3,17.029386365926403,1348990,4.2,0.08333333333333333,1
1949,0,2.6,1,4,0,47,0.3,199,4,7,407,822,1433,11,5,20,0,0,1,1,12.083045973594572,1338216,10.4,0.23618090452261306,2
1602,1,2.8,1,4,1,38,0.7,114,3,20,466,788,1037,8,7,20,1,0,0,0,10.63014581273465,1468832,8.399999999999999,0.3333333333333333,2
503,0,1.2,1,5,1,8,0.4,111,3,13,201,1245,2583,11,0,12,1,0,0,1,11.0,1251225,3.5999999999999996,0.07207207207207207,2
961,1,1.4,1,0,1,57,0.6,114,8,3,291,1434,2782,18,9,7,1,1,1,2,20.12461179749811,0,11.2,0.5,4
519,1,1.6,1,7,1,51,0.3,132,4,19,550,645,3763,16,1,4,1,0,1,3,16.0312195418814,2483250,6.4,0.38636363636363635,4
956,0,0.5,0,1,1,41,1.0,143,7,6,511,1075,3286,17,8,12,1,1,0,3,18.788294228055936,549325,3.5,0.2867132867132867,2
1453,0,1.6,1,12,1,52,0.3,96,2,18,187,1311,2373,10,1,10,1,1,1,2,10.04987562112089,2941884,3.2,0.5416666666666666,4
851,0,0.5,0,3,0,21,0.4,200,5,7,1171,1263,478,12,7,10,1,0,1,0,13.892443989449804,4436919,2.5,0.105,3
1579,1,0.5,1,0,0,5,0.2,88,7,9,1358,1739,3532,17,11,12,0,0,1,3,20.248456731316587,0,3.5,0.056818181818181816,2
1568,1,0.5,0,16,0,33,1.0,150,8,20,413,654,508,5,1,6,1,1,1,0,5.0990195135927845,4321632,4.0,0.22,3
1319,1,0.9,0,3,1,41,0.9,107,1,18,85,1152,2227,18,5,3,1,1,1,1,18.681541692269406,293760,0.9,0.38317757009345793,4
1310,1,2.2,1,0,1,51,0.6,100,4,0,178,1919,3845,7,0,12,1,1,0,3,7.0,0,8.8,0.51,2
644,1,2.7,0,0,0,22,0.7,157,8,3,311,881,1262,12,1,15,1,0,0,0,12.041594578792296,0,21.6,0.14012738853503184,1
725,0,1.3,1,16,0,60,0.4,160,8,17,1134,1249,1326,10,4,15,1,0,0,1,10.770329614269007,22661856,10.4,0.375,1
589,1,2.3,1,1,0,61,0.6,160,4,10,429,815,2113,13,7,2,1,0,1,1,14.7648230602334,349635,9.2,0.38125,3
1725,1,1.6,1,6,1,6,0.5,119,2,18,609,1307,3429,6,5,4,1,1,0,3,7.810249675906654,4775778,3.2,0.05042016806722689,2
790,0,2.0,1,16,1,11,0.3,87,6,17,347,730,3169,6,1,2,1,0,1,2,6.082762530298219,4052960,12.0,0.12643678160919541,4
560,0,0.5,1,15,0,50,0.3,159,2,20,1448,1613,2150,18,12,11,1,1,0,2,21.633307652783937,35034360,1.0,0.31446540880503143,1
1347,0,2.9,0,5,0,44,0.6,132,1,14,434,967,2484,18,2,11,1,0,1,2,18.110770276274835,2098390,2.9,0.3333333333333333,3
1646,1,2.3,0,8,1,41,0.2,185,2,10,1725,1932,3339,18,10,19,1,1,0,3,20.591260281974,26661600,4.6,0.22162162162162163,2
1253,1,0.5,1,5,1,5,0.2,152,2,19,685,714,1878,15,0,4,1,1,0,1,15.0,2445450,1.0,0.03289473684210526,2
1656,0,1.0,0,5,1,34,0.1,166,3,7,880,1456,1629,15,12,14,1,1,0,1,19.209372712298546,6406400,3.0,0.20481927710843373,2
1195,1,2.8,0,1,1,20,0.8,110,2,14,1580,1652,504,9,3,12,1,1,0,0,9.486832980505138,2610160,5.6,0.18181818181818182,2
1514,0,2.9,0,0,0,27,0.2,118,3,1,186,1810,1152,8,3,20,0,1,1,1,8.54400374531753,0,8.7,0.2288135593220339,2
1723,1,1.1,1,1,0,42,1.0,164,8,14,202,1791,3587,10,5,3,1,0,0,3,11.180339887498949,361782,8.8,0.25609756097560976,1
1054,1,1.8,1,3,1,40,0.8,196,7,10,27,774,2296,16,12,12,1,0,1,1,20.0,62694,12.6,0.20408163265306123,4
578,1,2.6,1,2,1,57,0.2,162,8,8,1025,1433,1270,15,3,5,1,0,1,0,15.297058540778355,2937650,20.8,0.35185185185185186,4
596,0,2.1,1,9,0,64,0.8,111,8,15,885,1854,3238,16,13,10,0,0,0,3,20.615528128088304,14767110,16.8,0.5765765765765766,0
1547,1,3.0,1,2,1,14,0.7,198,3,19,1042,1832,2059,5,0,15,1,0,1,2,5.0,3817888,9.0,0.0707070707070707,4
1760,0,1.4,1,5,0,63,0.8,127,8,19,1382,1383,2053,19,12,16,0,1,0,2,22.47220505424423,9556530,11.2,0.49606299212598426,0
1654,1,1.5,1,0,1,43,0.3,109,2,0,546,629,3112,12,5,10,1,1,0,3,13.0,0,3.0,0.3944954128440367,2
1457,0,1.9,1,1,1,16,0.3,102,3,10,1013,1287,1440,17,8,12,1,0,1,1,18.788294228055936,1303731,5.699999999999999,0.1568627450980392,4
1073,1,0.5,1,0,0,51,0.5,145,7,0,690,804,2908,6,0,18,0,1,0,2,6.0,0,3.5,0.35172413793103446,0
1936,0,2.1,1,10,1,46,0.6,104,3,20,667,1036,2552,14,7,13,1,0,0,2,15.652475842498529,6910120,6.300000000000001,0.4423076923076923,2
823,1,2.7,1,13,0,60,0.5,148,8,19,822,1449,905,14,11,17,1,1,1,0,17.804493814764857,15484014,21.6,0.40540540540540543,3
987,0,1.3,1,0,1,61,0.4,107,3,9,581,820,3963,9,4,20,1,0,1,3,9.848857801796104,0,3.9000000000000004,0.5700934579439252,4
1757,0,0.5,0,8,0,49,0.5,180,6,14,265,713,2056,7,5,4,0,0,0,1,8.602325267042627,1511560,3.0,0.2722222222222222,0
1063,0,1.4,1,2,1,48,1.0,128,5,4,127,683,2910,15,13,9,1,1,1,2,19.849433241279208,173482,7.0,0.375,4
1484,0,3.0,0,3,0,12,0.6,134,3,5,916,969,1457,14,4,20,1,1,0,1,14.560219778561036,2662812,9.0,0.08955223880597014,1
799,1,2.3,0,1,1,63,0.8,144,8,6,361,975,431,15,6,6,1,1,1,0,16.15549442140351,351975,18.4,0.4375,4
1156,1,1.2,1,0,1,50,0.8,159,2,0,322,547,470,7,0,15,1,1,0,0,7.0,0,2.4,0.31446540880503143,2
1720,0,2.0,0,15,1,55,0.5,168,2,18,753,1353,2148,14,2,5,1,1,1,2,14.142135623730951,15282135,4.0,0.3273809523809524,4
702,0,2.6,1,2,1,9,0.7,141,3,3,504,1570,2955,10,4,19,1,0,0,2,10.770329614269007,1582560,7.800000000000001,0.06382978723404255,2
616,0,1.9,1,13,1,44,0.8,81,3,17,651,1618,3366,18,8,13,1,1,0,3,19.697715603592208,13693134,5.699999999999999,0.5432098765432098,2
1358,1,0.5,0,11,1,36,0.3,155,4,14,1565,1858,3068,9,4,4,1,1,0,3,9.848857801796104,31985470,2.0,0.23225806451612904,2
1866,0,1.4,0,0,0,30,0.5,182,3,0,108,1781,3834,16,11,8,0,0,0,3,19.4164878389476,0,4.199999999999999,0.16483516483516483,0
1242,0,1.1,1,0,0,10,0.6,165,2,1,459,1225,1050,11,1,4,1,0,1,0,11.045361017187261,0,2.2,0.06060606060606061,3
1166,0,1.5,1,0,1,43,0.8,80,4,1,205,603,3993,7,1,7,1,1,0,3,7.0710678118654755,0,6.0,0.5375,2
1448,1,0.5,1,6,1,45,0.8,138,7,11,570,1724,3378,13,11,2,1,1,1,3,17.029386365926403,5896080,3.5,0.32608695652173914,4
1407,1,2.4,0,1,1,22,0.7,104,4,4,1172,1217,2192,9,7,13,1,0,1,2,11.40175425099138,1426324,9.6,0.21153846153846154,4
605,0,1.0,0,8,1,9,0.1,142,3,16,160,1026,392,15,6,4,1,0,0,0,16.15549442140351,1313280,3.0,0.06338028169014084,2
1038,0,1.2,0,3,0,43,0.7,141,1,5,4,638,3709,11,0,12,1,1,1,3,11.0,7656,1.2,0.3049645390070922,3
797,1,2.9,1,4,0,38,0.5,90,4,6,763,1413,590,9,2,6,0,1,0,0,9.219544457292887,4312476,11.6,0.4222222222222222,0
819,0,0.6,1,8,1,42,0.9,188,6,20,339,1242,1814,5,4,13,1,0,1,1,6.4031242374328485,3368304,3.5999999999999996,0.22340425531914893,4
1114,0,2.8,0,4,1,9,0.4,197,3,15,1040,1071,907,10,7,17,1,1,0,0,12.206555615733702,4455360,8.399999999999999,0.04568527918781726,2
1234,1,1.6,1,1,0,33,0.6,172,1,3,166,778,1449,11,7,6,0,0,1,0,13.038404810405298,129148,1.6,0.19186046511627908,2
1199,1,2.5,1,15,1,16,0.2,116,4,20,1168,1552,3448,17,13,10,1,0,1,3,21.400934559032695,27191040,10.0,0.13793103448275862,4
1103,0,1.0,1,6,0,29,0.7,111,6,8,990,1486,1837,8,7,16,0,1,1,1,10.63014581273465,8826840,6.0,0.26126126126126126,2
1589,1,0.6,1,0,1,58,0.9,85,7,7,319,1206,3464,19,10,6,1,1,1,3,21.470910553583888,0,4.2,0.6823529411764706,4
999,0,2.9,1,11,1,64,0.2,199,4,19,1397,1616,2593,14,11,16,1,1,0,2,17.804493814764857,24833072,11.6,0.32160804020100503,2
1510,1,0.9,1,2,0,45,0.9,180,5,3,708,1752,3484,9,6,11,0,1,1,3,10.816653826391969,2480832,4.5,0.25,2
1008,0,0.8,0,11,0,61,1.0,114,3,15,1077,1122,2009,10,3,11,1,0,0,1,10.44030650891055,13292334,2.4000000000000004,0.5350877192982456,1
1127,1,2.9,1,5,1,57,0.8,163,1,13,928,1049,2048,11,5,17,1,1,1,1,12.083045973594572,4867360,2.9,0.3496932515337423,4
1412,1,2.4,0,5,0,25,0.8,96,8,17,516,1894,837,15,9,4,0,0,1,1,17.4928556845359,4886520,19.2,0.2604166666666667,2
1496,1,2.0,1,4,0,42,0.5,182,5,5,96,741,854,16,0,7,0,1,1,0,16.0,284544,10.0,0.23076923076923078,2
1083,1,2.9,1,1,1,64,0.8,178,3,11,1025,1118,3210,13,3,4,1,0,0,3,13.341664064126334,1145950,8.7,0.3595505617977528,2
668,0,0.5,1,0,0,3,0.1,155,5,13,666,1203,2746,9,5,8,1,1,1,2,10.295630140987,0,2.5,0.01935483870967742,3
1309,0,1.1,1,0,0,33,0.5,100,4,14,557,1402,2334,10,1,11,1,0,1,2,10.04987562112089,0,4.4,0.33,3
1724,0,2.0,1,2,1,57,0.5,177,3,5,1605,1924,2822,19,3,16,1,1,0,3,19.235384061671343,6176040,6.0,0.3220338983050847,2
1977,1,2.0,1,7,1,54,1.0,171,7,18,1226,1242,1971,18,7,14,1,1,0,2,19.313207915827967,10658844,14.0,0.3157894736842105,2
885,0,2.3,1,0,1,15,0.4,103,7,0,769,802,1410,16,10,5,1,1,1,0,18.867962264113206,0,16.099999999999998,0.14563106796116504,4
879,1,2.5,0,11,1,14,0.7,83,6,15,403,1105,349,16,10,2,1,0,1,0,18.867962264113206,4898465,15.0,0.1686746987951807,4
1322,0,1.7,1,6,0,7,0.8,140,3,9,177,1990,1418,19,17,12,0,1,0,1,25.495097567963924,2113380,5.1,0.05,0
1137,1,1.0,0,18,0,7,1.0,196,3,19,942,1179,3616,13,5,12,1,1,1,3,13.92838827718412,19991124,3.0,0.03571428571428571,3
1355,0,2.3,0,10,1,23,0.2,132,5,16,651,891,880,19,4,8,1,1,0,0,19.4164878389476,5800410,11.5,0.17424242424242425,2
1665,1,0.5,0,3,1,60,0.2,194,6,18,1572,1684,1601,18,17,14,1,0,0,2,24.758836806279895,7941744,3.0,0.30927835051546393,2
657,0,2.5,0,0,0,37,0.7,141,2,1,476,961,1412,14,3,18,0,1,0,0,14.317821063276353,0,5.0,0.2624113475177305,0
593,0,0.5,0,6,0,31,0.4,156,7,7,1233,1317,1692,6,2,7,1,0,0,1,6.324555320336759,9743166,3.5,0.1987179487179487,1
1883,1,0.5,0,3,1,10,0.3,146,6,13,836,1739,2600,16,8,20,1,0,0,3,17.88854381999832,4361412,3.0,0.0684931506849315,2
1732,1,1.1,0,4,1,12,0.8,119,8,9,824,881,1308,16,7,11,1,0,1,1,17.46424919657298,2903776,8.8,0.10084033613445378,4
543,0,0.5,0,0,0,57,0.7,192,5,4,391,984,2413,17,14,15,1,0,0,1,22.02271554554524,0,2.5,0.296875,1
1939,1,2.8,1,0,1,55,0.6,199,4,10,320,520,1047,14,10,18,1,1,0,0,17.204650534085253,0,11.2,0.27638190954773867,2
553,0,2.4,1,1,1,8,0.5,121,7,3,325,902,1204,11,4,8,1,1,1,0,11.704699910719626,293150,16.8,0.06611570247933884,4
832,0,0.7,1,2,1,39,0.7,103,4,3,125,1504,1799,5,2,11,1,0,1,1,5.385164807134504,376000,2.8,0.3786407766990291,4
1661,0,1.9,1,5,0,23,1.0,172,5,10,846,1634,2676,12,6,11,0,1,1,3,13.416407864998739,6911820,9.5,0.13372093023255813,2
1657,1,2.4,0,3,0,42,0.1,198,5,16,1770,1796,2597,18,1,14,1,0,0,3,18.027756377319946,9536760,12.0,0.21212121212121213,1
1135,1,2.0,1,0,0,46,0.3,83,1,4,293,1846,3029,19,17,9,1,1,1,3,25.495097567963924,0,2.0,0.5542168674698795,3
1775,1,1.5,0,3,0,41,0.1,163,1,7,1633,1869,2343,19,13,14,1,1,1,3,23.021728866442675,9156231,1.5,0.25153374233128833,3
783,0,1.8,1,0,1,43,1.0,106,3,4,1198,1471,2016,16,4,18,1,1,0,1,16.492422502470642,0,5.4,0.4056603773584906,2
617,1,2.3,0,0,0,32,0.5,199,7,20,768,874,2213,18,13,7,0,0,0,1,22.20360331117452,0,16.099999999999998,0.16080402010050251,0
867,0,1.4,1,0,1,4,0.7,135,6,1,70,1974,790,13,6,3,1,1,0,0,14.317821063276353,0,8.399999999999999,0.02962962962962963,2
1310,1,1.1,1,13,0,7,1.0,194,5,14,117,513,3182,8,4,5,1,1,0,2,8.94427190999916,780273,5.5,0.03608247422680412,1
1804,0,0.5,0,9,1,22,0.6,153,7,19,1158,1244,3472,9,1,20,1,0,1,3,9.055385138137417,12964968,3.5,0.1437908496732026,4
1900,1,2.3,0,1,1,18,0.2,89,7,9,1055,1661,2871,12,1,13,1,1,1,3,12.041594578792296,1752355,16.099999999999998,0.20224719101123595,4
909,1,1.4,0,0,0,53,0.3,82,8,0,635,973,3187,12,9,4,1,0,0,2,15.0,0,11.2,0.6463414634146342,1
1084,1,2.6,0,3,1,40,0.9,107,3,11,322,771,1945,15,4,10,1,1,0,1,15.524174696260024,744786,7.800000000000001,0.37383177570093457,2
1308,0,1.3,1,8,0,46,0.9,199,1,12,275,989,488,5,3,9,0,1,0,0,5.830951894845301,2175800,1.3,0.23115577889447236,0
1778,0,0.5,0,0,0,15,0.5,102,3,0,1445,1954,1214,5,0,14,1,0,0,1,5.0,0,1.5,0.14705882352941177,1
1701,1,1.6,1,3,0,10,0.3,194,8,7,550,1338,2598,12,9,6,0,1,0,2,15.0,2207700,12.8,0.05154639175257732,0
772,1,2.4,1,1,1,10,0.5,80,4,2,1242,1712,3242,18,11,4,1,1,0,3,21.095023109728988,2126304,9.6,0.125,2
825,1,0.5,1,7,0,52,0.9,130,3,10,597,863,3534,10,4,6,0,1,0,3,10.770329614269007,3606477,1.5,0.4,0
1379,0,1.1,0,5,1,36,0.8,200,2,7,538,1376,3426,5,4,17,1,1,1,3,6.4031242374328485,3701440,2.2,0.18,4
1166,0,2.0,0,3,1,25,0.8,198,5,4,59,1203,2488,13,5,15,1,0,0,2,13.92838827718412,212931,10.0,0.12626262626262627,2
1659,0,2.8,0,5,0,16,0.6,89,1,20,819,902,3255,19,14,9,0,0,1,3,23.600847442411894,3693690,2.8,0.1797752808988764,2
826,1,2.4,1,0,1,58,0.3,88,4,1,179,786,2863,9,3,18,1,0,1,2,9.486832980505138,0,9.6,0.6590909090909091,4
1564,0,2.3,0,4,1,25,0.5,189,6,17,1259,1965,1496,6,4,7,1,1,1,1,7.211102550927978,9895740,13.799999999999999,0.13227513227513227,4
1957,0,0.9,1,11,0,31,0.6,181,3,16,396,1732,3801,12,0,7,1,0,1,3,12.0,7544592,2.7,0.1712707182320442,3
1571,0,1.4,0,0,1,19,0.1,100,6,1,713,1398,666,12,10,13,1,1,0,0,15.620499351813308,0,8.399999999999999,0.19,2
1414,0,2.0,1,2,0,54,0.8,99,7,3,262,829,3799,17,7,7,1,0,1,3,18.384776310850235,434396,14.0,0.5454545454545454,3
1790,0,2.5,1,9,0,2,0.1,184,1,14,622,792,1366,7,0,20,1,1,1,1,7.0,4433616,2.5,0.010869565217391304,3
645,0,0.5,0,1,0,41,1.0,197,7,10,327,580,2962,12,9,4,1,1,1,2,15.0,189660,3.5,0.20812182741116753,3
668,0,2.9,1,7,0,30,0.2,195,8,12,522,1056,2399,10,5,7,1,1,1,1,11.180339887498949,3858624,23.2,0.15384615384615385,3
1652,1,1.1,1,1,0,36,0.7,89,4,5,313,1264,2338,12,8,20,0,0,0,2,14.422205101855956,395632,4.4,0.4044943820224719,0
1213,1,0.5,0,0,0,16,0.5,108,5,0,226,1248,2700,12,3,9,0,0,1,2,12.36931687685298,0,2.5,0.14814814814814814,2
1272,1,2.5,1,0,0,22,0.9,133,6,8,605,669,2235,19,4,4,1,0,0,1,19.4164878389476,0,15.0,0.16541353383458646,1
866,0,0.5,1,5,1,46,0.5,179,8,7,692,1686,3825,12,11,2,1,1,1,3,16.278820596099706,5833560,4.0,0.2569832402234637,4
536,0,2.4,1,12,1,3,0.3,182,7,14,1386,1539,284,12,9,4,1,1,0,0,15.0,25596648,16.8,0.016483516483516484,2
523,0,2.6,1,1,0,14,0.1,155,8,2,304,1042,1427,9,1,9,0,1,0,0,9.055385138137417,316768,20.8,0.09032258064516129,0
1753,0,0.5,1,0,1,31,0.1,134,1,18,1590,1926,1324,17,0,17,1,0,1,2,17.0,0,0.5,0.23134328358208955,4
1218,0,1.8,1,1,1,14,0.5,147,3,4,229,616,398,17,0,5,1,0,0,0,17.0,141064,5.4,0.09523809523809523,2
1537,1,2.5,0,4,1,43,0.3,137,1,5,839,1131,3685,18,17,17,1,1,1,3,24.758836806279895,3795636,2.5,0.31386861313868614,4
786,0,2.2,1,0,0,33,0.5,141,7,6,507,1697,2390,12,11,5,1,0,1,2,16.278820596099706,0,15.400000000000002,0.23404255319148937,3
1678,0,2.1,0,3,1,64,0.9,134,3,11,436,536,278,19,0,10,1,1,0,0,19.0,701088,6.300000000000001,0.47761194029850745,2
1814,0,1.4,1,1,1,9,0.4,141,2,2,756,786,3556,18,12,16,1,0,0,3,21.633307652783937,594216,2.8,0.06382978723404255,2
1101,0,1.8,0,0,0,31,0.2,148,2,7,387,1269,2196,12,6,19,0,1,1,1,13.416407864998739,0,3.6,0.20945945945945946,2
1461,0,2.4,1,3,1,40,0.5,141,7,4,1265,1298,3799,16,1,4,1,0,0,3,16.0312195418814,4925910,16.8,0.28368794326241137,2
1216,0,3.0,0,4,0,47,0.4,199,3,7,1852,1967,2268,13,5,4,0,1,1,2,13.92838827718412,14571536,9.0,0.23618090452261306,2
506,0,1.6,0,6,1,41,0.8,159,1,7,875,1025,2965,13,10,15,1,0,0,2,16.401219466856727,5381250,1.6,0.2578616352201258,2
843,1,0.5,0,1,1,56,0.1,147,5,17,140,800,2341,10,1,20,1,1,1,1,10.04987562112089,112000,2.5,0.38095238095238093,4
742,0,2.2,1,4,0,56,0.2,190,7,14,577,1359,3557,16,11,12,0,1,1,3,19.4164878389476,3136572,15.400000000000002,0.29473684210526313,2
1692,1,2.1,0,3,1,61,0.9,176,6,12,975,1996,1354,16,7,19,1,0,0,1,17.46424919657298,5838300,12.600000000000001,0.3465909090909091,2
1485,0,1.0,0,2,1,32,0.7,84,2,9,510,1013,2147,19,1,11,1,1,0,2,19.026297590440446,1033260,2.0,0.38095238095238093,2
1547,0,2.9,1,6,0,45,0.7,166,2,8,583,590,505,12,2,3,0,1,1,0,12.165525060596439,2063820,5.8,0.2710843373493976,2
1692,0,2.3,1,4,1,46,0.9,139,1,6,674,1925,1394,16,10,6,1,1,0,1,18.867962264113206,5189800,2.3,0.33093525179856115,2
637,0,2.3,0,3,1,60,0.8,97,4,4,1125,1989,374,18,4,8,1,0,1,0,18.439088914585774,6712875,9.2,0.6185567010309279,4
1224,0,0.5,0,16,1,6,0.4,109,6,18,747,826,506,10,0,11,1,1,1,0,10.0,9872352,3.0,0.05504587155963303,4
1356,0,2.8,0,0,0,29,0.5,198,6,0,1612,1983,3702,17,0,19,0,0,0,3,17.0,0,16.799999999999997,0.14646464646464646,0
1840,0,0.5,1,12,0,34,0.7,142,1,16,311,1545,1078,8,0,10,0,0,0,1,8.0,5765940,0.5,0.23943661971830985,0
1481,1,0.7,1,4,1,37,0.6,96,5,13,116,1533,2945,10,5,16,1,1,1,2,11.180339887498949,711312,3.5,0.3854166666666667,4
961,1,1.5,1,10,0,51,0.3,152,6,16,554,621,2981,15,6,7,1,1,1,2,16.15549442140351,3440340,9.0,0.3355263157894737,3
1296,0,0.9,1,0,1,14,0.5,124,5,3,811,1272,490,7,1,4,1,1,1,0,7.0710678118654755,0,4.5,0.11290322580645161,4
1193,0,0.9,0,11,0,26,0.5,166,1,20,730,1729,536,17,14,4,1,0,1,0,22.02271554554524,13883870,0.9,0.1566265060240964,3
1441,0,2.1,1,11,1,3,0.1,118,8,17,577,1071,2317,16,4,7,1,0,1,2,16.492422502470642,6797637,16.8,0.025423728813559324,4
517,0,1.4,1,3,1,33,0.8,183,4,8,660,974,3704,17,16,11,1,0,1,3,23.345235059857504,1928520,5.6,0.18032786885245902,4
748,1,1.7,0,0,1,27,0.9,150,8,4,450,1554,2126,18,9,7,1,0,0,1,20.12461179749811,0,13.6,0.18,2
1126,1,2.4,0,2,1,10,0.4,160,6,3,1223,1611,2050,7,6,12,1,1,1,2,9.219544457292887,3940506,14.399999999999999,0.0625,4
1572,0,0.6,0,0,1,58,0.2,157,7,8,1109,1937,2462,12,8,10,1,0,0,3,14.422205101855956,0,4.2,0.36942675159235666,2
1569,0,2.8,1,17,0,44,0.3,110,4,20,45,1942,1260,9,2,17,1,0,0,1,9.219544457292887,1485630,11.2,0.4,1
1270,1,0.6,1,2,1,32,0.5,101,7,6,299,845,3770,5,3,13,1,1,0,3,5.830951894845301,505310,4.2,0.31683168316831684,2
1854,0,3.0,0,2,1,8,0.1,101,5,5,506,627,1886,17,4,20,1,1,0,1,17.46424919657298,634524,15.0,0.07920792079207921,2
625,1,1.2,1,5,1,10,0.2,183,4,8,635,842,3323,9,1,7,1,1,1,2,9.055385138137417,2673350,4.8,0.0546448087431694,4
1577,0,0.5,1,0,1,42,0.3,197,5,4,1045,1737,2060,19,6,12,1,0,0,2,19.924858845171276,0,2.5,0.2131979695431472,2
534,0,0.5,1,0,1,16,1.0,189,5,1,393,1199,3926,16,12,20,1,0,0,3,20.0,0,2.5,0.08465608465608465,2
946,0,1.7,1,8,1,25,0.8,143,6,15,650,1740,2177,7,5,13,1,1,1,2,8.602325267042627,9048000,10.2,0.17482517482517482,4
685,0,0.5,0,2,0,29,0.8,93,7,10,433,648,728,14,8,4,0,0,1,0,16.1245154965971,561168,3.5,0.3118279569892473,2
1949,0,1.3,1,0,0,23,0.1,101,5,1,839,1136,2478,14,8,20,1,0,0,3,16.1245154965971,0,6.5,0.22772277227722773,1
947,0,0.8,1,0,1,22,0.1,197,2,13,1176,1220,2842,16,12,2,1,0,0,2,20.0,0,1.6,0.1116751269035533,2
801,1,2.2,1,2,0,63,0.4,165,7,4,650,879,1617,17,4,19,0,0,1,1,17.46424919657298,1142700,15.400000000000002,0.38181818181818183,2
703,1,2.7,0,12,1,30,0.3,113,1,20,218,1065,1472,14,7,7,1,0,0,0,15.652475842498529,2786040,2.7,0.26548672566371684,2
1165,1,2.4,0,11,0,41,0.2,178,6,12,564,831,764,19,12,15,1,0,0,0,22.47220505424423,5155524,14.399999999999999,0.2303370786516854,1
1082,0,0.8,0,0,0,38,0.1,198,8,5,986,1191,2337,6,1,17,0,1,1,2,6.082762530298219,0,6.4,0.1919191919191919,2
959,1,2.6,1,15,0,20,1.0,84,4,19,561,1631,3965,16,1,6,1,0,0,3,16.0312195418814,13724865,10.4,0.23809523809523808,1
1502,1,1.2,0,0,0,54,0.2,138,5,12,65,588,3693,17,14,16,1,1,0,3,22.02271554554524,0,6.0,0.391304347826087,1
